Gender,Age,Amount of time spent reading books per day,How to manage books for reading,Number of e-books you read last two years,Number of printed books you read last two years,Who influenced you to read books,The format that you used for reading books,Frequency of reading books
Male,22,1,E-books,1-5,1-5,Self-Decision,E-books,A few times a week
Male,22,1,Others,,1-5,Self-Decision,Both,On everyday basis
Male,22,1,E-books,6-10,1-5,Friends,Printed,A few times a month
Male,23,1,E-books,11-15,1-5,Teachers,E-books,A few times a month
Male,23,1,E-books,1-5,1-5,Teachers,Both,A few times a month
Female,21,1,Buy,,1-5,Self-Decision,Printed,On everyday basis
Male,22,1,E-books,More than 20,6-10,Self-Decision,Both,A few times a week
Male,22,3,E-books,11-15,1-5,Teachers,Printed,A few times a month
Male,23,2,Buy,1-5,6-10,Parents,Both,A few times a week
Male,21,1,E-books,1-5,,Friends,E-books,A few times a week
Male,22,1,E-books,6-10,1-5,Self-Decision,Both,On everyday basis
Male,20,7,E-books,6-10,6-10,Parents,Both,On everyday basis
Male,22,2,Borrow,11-15,16-20,Parents,Both,On everyday basis
Male,18,2,Buy,6-10,11-15,Self-Decision,Both,On everyday basis
Male,22,3,E-books,More than 20,More than 20,Self-Decision,Printed,On everyday basis
Male,19,1,E-books,6-10,1-5,Self-Decision,Both,A few times a week
Male,23,1,E-books,11-15,1-5,Teachers,E-books,A few times a month
Male,20,1,Buy,1-5,More than 20,Self-Decision,Printed,A few times a week
Male,21,1,Used-all,6-10,More than 20,Self-Decision,Both,On everyday basis
Male,21,1,Used-all,11-15,6-10,Parents,Printed,A few times a week
Female,20,2,Borrow,16-20,1-5,Parents,Both,A few times a week
Male,22,2,E-books,1-5,1-5,Friends,Both,A few times a month
Male,21,4,Used-all,6-10,More than 20,Self-Decision,Printed,On everyday basis
Male,19,1,E-books,,More than 20,Friends,E-books,On everyday basis
Female,21,1,E-books,6-10,1-5,Self-Decision,Both,A few times a week
Male,21,2,Buy,1-5,,Friends,Printed,A few times a week
Female,21,4,Used-all,1-5,1-5,Teachers,Both,On everyday basis
Male,22,1,Used-all,11-15,6-10,Self-Decision,Both,A few times a month
Female,23,1,Used-all,1-5,11-15,Self-Decision,Both,A few times a week
Male,23,1,Used-all,11-15,More than 20,Friends,Printed,On everyday basis
